Vin_A,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
0,-26.674991593897754,0.8853284368391567,2.4764626801675746e-08,2.325066698605996e-07,6.657935709788039e-10,6.337190290642665e-10,6.82188188953029e-10,4.1557064244268327e-10,7.160628841253112e-09,1.2966001400098302e+19,6.795277268778211e-10,6.526601448435222e-10,6.955463191064942e-10,4.038498238484761e-10,7.2568699797912414e-09,4.279585137028508e+18,1.23744141265e-06
1,-26.674991593897754,0.8853284368391567,2.4764626801675746e-08,2.325066698605996e-07,6.657935709788039e-10,6.337190290642665e-10,6.82188188953029e-10,4.1557064244268327e-10,7.160628841253112e-09,1.2966001400098302e+19,6.795277268778211e-10,6.526601448435222e-10,6.955463191064942e-10,4.038498238484761e-10,7.2568699797912414e-09,4.279585137028508e+18,1.5868889954696e-06
0,49.78119942979028,0.8276180087829599,2.370841814019661e-08,2.3456378459566106e-07,6.658453656811496e-10,6.815627654420052e-10,6.476401360288574e-10,4.0572747535876284e-10,7.80650476038805e-09,1.1871335027704732e+19,6.64421482382904e-10,6.449280465713393e-10,6.558176711119553e-10,4.219333899698008e-10,7.1993534097827274e-09,4.5607621765347727e+18,8.690379881749999e-07
1,49.78119942979028,0.8276180087829599,2.370841814019661e-08,2.3456378459566106e-07,6.658453656811496e-10,6.815627654420052e-10,6.476401360288574e-10,4.0572747535876284e-10,7.80650476038805e-09,1.1871335027704732e+19,6.64421482382904e-10,6.449280465713393e-10,6.558176711119553e-10,4.219333899698008e-10,7.1993534097827274e-09,4.5607621765347727e+18,1.118653166401e-06
0,-7.773981906306403,0.9708038687079388,2.465039657846529e-08,2.360141896627142e-07,6.625259095711637e-10,6.727831562133555e-10,6.422539321639961e-10,3.84592128624918e-10,7.103141557340204e-09,1.1761604346083418e+19,6.934897532930302e-10,6.557222136109753e-10,6.960866559356865e-10,4.089014635701118e-10,7.153601387169932e-09,4.3710629753106847e+18,1.9245138299400004e-06
1,-7.773981906306403,0.9708038687079388,2.465039657846529e-08,2.360141896627142e-07,6.625259095711637e-10,6.727831562133555e-10,6.422539321639961e-10,3.84592128624918e-10,7.103141557340204e-09,1.1761604346083418e+19,6.934897532930302e-10,6.557222136109753e-10,6.960866559356865e-10,4.089014635701118e-10,7.153601387169932e-09,4.3710629753106847e+18,2.4820974035412e-06
0,5.790958553070801,0.8720078170598317,2.396145688785314e-08,2.214094599334494e-07,6.552559323752218e-10,6.529301178271548e-10,5.910138629930682e-10,3.716526304014139e-10,6.818779416153755e-09,1.2252767805392863e+19,6.924223890972679e-10,7.117027790931126e-10,6.545810649867213e-10,4.1166606723333516e-10,7.073518339922802e-09,4.780743157337882e+18,1.0281070992499998e-06
1,5.790958553070801,0.8720078170598317,2.396145688785314e-08,2.214094599334494e-07,6.552559323752218e-10,6.529301178271548e-10,5.910138629930682e-10,3.716526304014139e-10,6.818779416153755e-09,1.2252767805392863e+19,6.924223890972679e-10,7.117027790931126e-10,6.545810649867213e-10,4.1166606723333516e-10,7.073518339922802e-09,4.780743157337882e+18,1.3303875253478e-06
0,49.6992535540937,0.9404332639763092,2.4605655488678147e-08,2.3458837745328227e-07,6.33952571994256e-10,6.561038951455937e-10,6.451427844761517e-10,4.1037400811392943e-10,6.876557552532017e-09,1.187883915808234e+19,7.083666472532777e-10,6.653303928105763e-10,6.276059986774765e-10,4.0968471587582565e-10,7.2000565378540155e-09,4.674184755864656e+18,1.674026767224e-06
1,49.6992535540937,0.9404332639763092,2.4605655488678147e-08,2.3458837745328227e-07,6.33952571994256e-10,6.561038951455937e-10,6.451427844761517e-10,4.1037400811392943e-10,6.876557552532017e-09,1.187883915808234e+19,7.083666472532777e-10,6.653303928105763e-10,6.276059986774765e-10,4.0968471587582565e-10,7.2000565378540155e-09,4.674184755864656e+18,2.158310487683e-06
0,-28.57262903148509,0.9095853806037468,2.4496593782960146e-08,2.147559549782117e-07,6.251322488901174e-10,7.089340013560044e-10,6.532501369156434e-10,4.071117520941483e-10,7.268807694180497e-09,1.254766547702036e+19,7.065251138311783e-10,6.168416064142931e-10,7.042553639688822e-10,3.81025750192087e-10,7.340675257863204e-09,4.484746033168909e+18,1.25663428188e-06
1,-28.57262903148509,0.9095853806037468,2.4496593782960146e-08,2.147559549782117e-07,6.251322488901174e-10,7.089340013560044e-10,6.532501369156434e-10,4.071117520941483e-10,7.268807694180497e-09,1.254766547702036e+19,7.065251138311783e-10,6.168416064142931e-10,7.042553639688822e-10,3.81025750192087e-10,7.340675257863204e-09,4.484746033168909e+18,1.6199349205446e-06
0,19.499950407375067,0.9564354310324471,2.6429387529464323e-08,2.2416811898054194e-07,6.434596172112462e-10,6.439368773021463e-10,6.601013392399327e-10,3.8922705589612516e-10,7.257851353178731e-09,1.260438877743995e+19,6.72223464479239e-10,7.009169183306304e-10,6.96736396287993e-10,3.9466652752716247e-10,7.068516300611337e-09,4.398998916155842e+18,1.888592603718e-06
1,19.499950407375067,0.9564354310324471,2.6429387529464323e-08,2.2416811898054194e-07,6.434596172112462e-10,6.439368773021463e-10,6.601013392399327e-10,3.8922705589612516e-10,7.257851353178731e-09,1.260438877743995e+19,6.72223464479239e-10,7.009169183306304e-10,6.96736396287993e-10,3.9466652752716247e-10,7.068516300611337e-09,4.398998916155842e+18,2.4212860052932e-06
0,70.00783289130676,0.8664142519719905,2.4052362740796188e-08,2.385337696646574e-07,6.634783363192715e-10,6.460542209653101e-10,6.007027322158361e-10,3.9815221494979325e-10,6.800869399316837e-09,1.1911267951037397e+19,6.398879504859702e-10,6.45847658544337e-10,6.513020291683377e-10,4.0716434917819566e-10,7.294116159478382e-09,4.560551155458152e+18,1.141419458564e-06
1,70.00783289130676,0.8664142519719905,2.4052362740796188e-08,2.385337696646574e-07,6.634783363192715e-10,6.460542209653101e-10,6.007027322158361e-10,3.9815221494979325e-10,6.800869399316837e-09,1.1911267951037397e+19,6.398879504859702e-10,6.45847658544337e-10,6.513020291683377e-10,4.0716434917819566e-10,7.294116159478382e-09,4.560551155458152e+18,1.4657989497246e-06
0,-44.23988748775153,0.8853475707957608,2.3883883284026373e-08,2.402508643959487e-07,6.59444651820465e-10,6.583054711647691e-10,6.583479002136235e-10,3.8195073229014657e-10,7.58444040388356e-09,1.2225449308213772e+19,6.858887199210247e-10,6.793389043906045e-10,6.697363537165152e-10,3.8568555463693325e-10,7.4443696032005875e-09,4.3163588877326863e+18,1.2268325619e-06
1,-44.23988748775153,0.8853475707957608,2.3883883284026373e-08,2.402508643959487e-07,6.59444651820465e-10,6.583054711647691e-10,6.583479002136235e-10,3.8195073229014657e-10,7.58444040388356e-09,1.2225449308213772e+19,6.858887199210247e-10,6.793389043906045e-10,6.697363537165152e-10,3.8568555463693325e-10,7.4443696032005875e-09,4.3163588877326863e+18,1.574258559926e-06
0,36.58362689196636,0.9724970872052582,2.345685119451925e-08,2.500175355970837e-07,6.585803977150541e-10,6.234761637870153e-10,6.366264062876076e-10,3.9953114649885975e-10,7.096725923898579e-09,1.2261808753018049e+19,6.703257026833717e-10,7.026771445281455e-10,7.364171228728912e-10,4.1237421561264574e-10,7.076543106828909e-09,4.169051170165724e+18,1.9727883998580003e-06
1,36.58362689196636,0.9724970872052582,2.345685119451925e-08,2.500175355970837e-07,6.585803977150541e-10,6.234761637870153e-10,6.366264062876076e-10,3.9953114649885975e-10,7.096725923898579e-09,1.2261808753018049e+19,6.703257026833717e-10,7.026771445281455e-10,7.364171228728912e-10,4.1237421561264574e-10,7.076543106828909e-09,4.169051170165724e+18,2.5504198649362e-06
0,-3.336795658341522,0.9015647088810865,2.4059704199889204e-08,2.412279502600446e-07,6.301811956343063e-10,6.547245799130875e-10,6.37852008653071e-10,3.9798940394441603e-10,6.400966042556231e-09,1.205858908890502e+19,6.57206782917752e-10,6.752923577160415e-10,6.899777924081175e-10,4.137975269238116e-10,7.959319944095092e-09,4.4245002924369326e+18,1.3292496449599998e-06
1,-3.336795658341522,0.9015647088810865,2.4059704199889204e-08,2.412279502600446e-07,6.301811956343063e-10,6.547245799130875e-10,6.37852008653071e-10,3.9798940394441603e-10,6.400966042556231e-09,1.205858908890502e+19,6.57206782917752e-10,6.752923577160415e-10,6.899777924081175e-10,4.137975269238116e-10,7.959319944095092e-09,4.4245002924369326e+18,1.7181439873296e-06
0,102.94477528725692,0.8956189940960437,2.436171721553887e-08,2.3052053636884962e-07,6.178105750797588e-10,6.77564148838283e-10,5.95233047168351e-10,3.9937727979779327e-10,7.464341721501317e-09,1.200846171949349e+19,6.869134060756844e-10,6.695201742346023e-10,6.719774174425152e-10,3.9344540662987996e-10,6.997988259082642e-09,4.271976439570842e+18,1.3425728833600005e-06
1,102.94477528725692,0.8956189940960437,2.436171721553887e-08,2.3052053636884962e-07,6.178105750797588e-10,6.77564148838283e-10,5.95233047168351e-10,3.9937727979779327e-10,7.464341721501317e-09,1.200846171949349e+19,6.869134060756844e-10,6.695201742346023e-10,6.719774174425152e-10,3.9344540662987996e-10,6.997988259082642e-09,4.271976439570842e+18,1.721202400508e-06
0,80.23722123218923,0.8362861751097707,2.4018957160384012e-08,2.3319267629181958e-07,6.534932777072922e-10,6.618921320826132e-10,6.357929322092071e-10,3.9368910668923837e-10,6.8105861060165025e-09,1.1770809079689044e+19,6.74218702990773e-10,6.940161917048961e-10,6.957741369297639e-10,3.968762848821576e-10,7.357614833531007e-09,4.239203519538128e+18,9.3890890828e-07
1,80.23722123218923,0.8362861751097707,2.4018957160384012e-08,2.3319267629181958e-07,6.534932777072922e-10,6.618921320826132e-10,6.357929322092071e-10,3.9368910668923837e-10,6.8105861060165025e-09,1.1770809079689044e+19,6.74218702990773e-10,6.940161917048961e-10,6.957741369297639e-10,3.968762848821576e-10,7.357614833531007e-09,4.239203519538128e+18,1.2058553640934e-06
0,-1.7019446636597664,0.8554304077239945,2.420674475257931e-08,2.3616436593047265e-07,6.116641235851387e-10,6.504836232666191e-10,6.742245098620929e-10,3.8681303621377103e-10,6.801316150838146e-09,1.1782978827837164e+19,6.68321946172472e-10,6.591156928359692e-10,6.626771170569842e-10,4.049281233745388e-10,7.214309071707484e-09,4.553473088966266e+18,1.046751831388e-06
1,-1.7019446636597664,0.8554304077239945,2.420674475257931e-08,2.3616436593047265e-07,6.116641235851387e-10,6.504836232666191e-10,6.742245098620929e-10,3.8681303621377103e-10,6.801316150838146e-09,1.1782978827837164e+19,6.68321946172472e-10,6.591156928359692e-10,6.626771170569842e-10,4.049281233745388e-10,7.214309071707484e-09,4.553473088966266e+18,1.3430535463192e-06
0,82.13416417499252,0.8521347196890495,2.3422930150774556e-08,2.385690333237809e-07,6.689091515156856e-10,6.536683210361214e-10,6.599241166259441e-10,3.9469697801323897e-10,6.978437149697602e-09,1.212734132365872e+19,6.658096055058224e-10,6.792351064538177e-10,6.329677887686361e-10,4.15146942392921e-10,7.661300496102444e-09,4.480691427982712e+18,9.942404098500002e-07
1,82.13416417499252,0.8521347196890495,2.3422930150774556e-08,2.385690333237809e-07,6.689091515156856e-10,6.536683210361214e-10,6.599241166259441e-10,3.9469697801323897e-10,6.978437149697602e-09,1.212734132365872e+19,6.658096055058224e-10,6.792351064538177e-10,6.329677887686361e-10,4.15146942392921e-10,7.661300496102444e-09,4.480691427982712e+18,1.2872058989817e-06
0,-23.72718788894588,0.8598599458402421,2.4223939806946103e-08,2.3088904223288815e-07,7.121886037212296e-10,6.783290527408745e-10,6.753024885289071e-10,3.8467742479718215e-10,7.219009170468751e-09,1.221151478985644e+19,6.575431823161165e-10,6.715312772921524e-10,6.840509708245393e-10,4.2736842989065446e-10,6.9246630345239405e-09,4.212177217029331e+18,1.01572151984e-06
1,-23.72718788894588,0.8598599458402421,2.4223939806946103e-08,2.3088904223288815e-07,7.121886037212296e-10,6.783290527408745e-10,6.753024885289071e-10,3.8467742479718215e-10,7.219009170468751e-09,1.221151478985644e+19,6.575431823161165e-10,6.715312772921524e-10,6.840509708245393e-10,4.2736842989065446e-10,6.9246630345239405e-09,4.212177217029331e+18,1.3108936572945e-06
0,-6.288543421721123,0.8792307382336702,2.2637601732520468e-08,2.295213767080451e-07,6.622939075313351e-10,6.420954786740584e-10,6.401008751921442e-10,4.1227512894819887e-10,7.460353111702551e-09,1.258024213596357e+19,6.740476038398924e-10,7.149672911795914e-10,6.331751538843831e-10,3.8387251144044896e-10,7.205915947815785e-09,4.4525995812576927e+18,1.061298248556e-06
1,-6.288543421721123,0.8792307382336702,2.2637601732520468e-08,2.295213767080451e-07,6.622939075313351e-10,6.420954786740584e-10,6.401008751921442e-10,4.1227512894819887e-10,7.460353111702551e-09,1.258024213596357e+19,6.740476038398924e-10,7.149672911795914e-10,6.331751538843831e-10,3.8387251144044896e-10,7.205915947815785e-09,4.4525995812576927e+18,1.3694255488728e-06
0,-36.78750642876989,0.9457249080261166,2.5674563130983603e-08,2.3819249352762178e-07,6.534815014753595e-10,6.59203513531222e-10,6.971472645749793e-10,4.0923785876475636e-10,7.330360381598081e-09,1.1321894101637188e+19,6.564073189140681e-10,6.712924641900734e-10,6.65507765967891e-10,3.8861346054621644e-10,7.169580802924051e-09,4.405577417675034e+18,1.81052964545e-06
1,-36.78750642876989,0.9457249080261166,2.5674563130983603e-08,2.3819249352762178e-07,6.534815014753595e-10,6.59203513531222e-10,6.971472645749793e-10,4.0923785876475636e-10,7.330360381598081e-09,1.1321894101637188e+19,6.564073189140681e-10,6.712924641900734e-10,6.65507765967891e-10,3.8861346054621644e-10,7.169580802924051e-09,4.405577417675034e+18,2.32101004509e-06
0,37.27444966466274,0.8533476627191432,2.3990230365509893e-08,2.434875668308587e-07,6.645224475557552e-10,6.503461973069916e-10,6.111765615023044e-10,3.8885969052630287e-10,7.428629146213054e-09,1.1911182495617956e+19,6.745381387244597e-10,6.960250111523157e-10,7.140583635137866e-10,4.0573352155613427e-10,6.8590353893060305e-09,4.57889643178104e+18,1.0239354831e-06
1,37.27444966466274,0.8533476627191432,2.3990230365509893e-08,2.434875668308587e-07,6.645224475557552e-10,6.503461973069916e-10,6.111765615023044e-10,3.8885969052630287e-10,7.428629146213054e-09,1.1911182495617956e+19,6.745381387244597e-10,6.960250111523157e-10,7.140583635137866e-10,4.0573352155613427e-10,6.8590353893060305e-09,4.57889643178104e+18,1.3276287713148e-06
0,103.18454146330352,0.8745960549141459,2.3322518584267192e-08,2.230702976122695e-07,6.484175402542213e-10,6.46092378960386e-10,6.323142562832217e-10,3.877534039243698e-10,7.375237085736554e-09,1.1905054060426891e+19,6.56355554660625e-10,6.392114539556521e-10,6.455899580277824e-10,3.7311437249641335e-10,6.997228644929488e-09,4.392414801336908e+18,1.045392301569e-06
1,103.18454146330352,0.8745960549141459,2.3322518584267192e-08,2.230702976122695e-07,6.484175402542213e-10,6.46092378960386e-10,6.323142562832217e-10,3.877534039243698e-10,7.375237085736554e-09,1.1905054060426891e+19,6.56355554660625e-10,6.392114539556521e-10,6.455899580277824e-10,3.7311437249641335e-10,6.997228644929488e-09,4.392414801336908e+18,1.35725320739e-06
0,67.87471408360626,0.9330893317859316,2.2851306855596995e-08,2.450420137383611e-07,6.708863420809223e-10,5.971588140299836e-10,6.495543510819523e-10,3.96680263848685e-10,6.4253045203932115e-09,1.1922892142423069e+19,6.55098293820202e-10,6.836857415810643e-10,6.80502170537689e-10,3.7179536852005374e-10,7.200014951079345e-09,4.1046171782100736e+18,1.545880908936e-06
1,67.87471408360626,0.9330893317859316,2.2851306855596995e-08,2.450420137383611e-07,6.708863420809223e-10,5.971588140299836e-10,6.495543510819523e-10,3.96680263848685e-10,6.4253045203932115e-09,1.1922892142423069e+19,6.55098293820202e-10,6.836857415810643e-10,6.80502170537689e-10,3.7179536852005374e-10,7.200014951079345e-09,4.1046171782100736e+18,2.0016324044833e-06
0,98.65807584414816,0.9627933104845974,2.5373767743290448e-08,2.337517531633464e-07,6.650451179787733e-10,6.422140161693597e-10,6.51065180512242e-10,3.995564778309667e-10,7.200440302339299e-09,1.2145939621553916e+19,6.449139029512719e-10,6.884808766937841e-10,6.375704451058116e-10,3.8502707083571416e-10,7.047291348453952e-09,4.611981801859671e+18,1.96967983497e-06
1,98.65807584414816,0.9627933104845974,2.5373767743290448e-08,2.337517531633464e-07,6.650451179787733e-10,6.422140161693597e-10,6.51065180512242e-10,3.995564778309667e-10,7.200440302339299e-09,1.2145939621553916e+19,6.449139029512719e-10,6.884808766937841e-10,6.375704451058116e-10,3.8502707083571416e-10,7.047291348453952e-09,4.611981801859671e+18,2.5442415000323e-06
0,3.05309304438002,0.964471635719181,2.5045956154841508e-08,2.337989507887629e-07,6.333245810504266e-10,6.580307780427564e-10,6.586042720323198e-10,3.9347723396070046e-10,7.342126904241294e-09,1.1820677949770858e+19,6.70625852569866e-10,6.651472952360566e-10,6.533933550708128e-10,4.04635025952153e-10,7.079754858120716e-09,4.596091252353443e+18,1.85002237144e-06
1,3.05309304438002,0.964471635719181,2.5045956154841508e-08,2.337989507887629e-07,6.333245810504266e-10,6.580307780427564e-10,6.586042720323198e-10,3.9347723396070046e-10,7.342126904241294e-09,1.1820677949770858e+19,6.70625852569866e-10,6.651472952360566e-10,6.533933550708128e-10,4.04635025952153e-10,7.079754858120716e-09,4.596091252353443e+18,2.3959690322892e-06
0,71.40431655316199,0.9387116294262281,2.38715217970647e-08,2.3169129217498846e-07,6.224282684475843e-10,6.502521978645952e-10,6.080320454338053e-10,3.9022290926184357e-10,7.245442583373445e-09,1.2038909985767086e+19,7.017566985951632e-10,6.3910709200216e-10,6.87647759368681e-10,3.865666825003128e-10,7.162813811020219e-09,4.516480093307858e+18,1.615672507512e-06
1,71.40431655316199,0.9387116294262281,2.38715217970647e-08,2.3169129217498846e-07,6.224282684475843e-10,6.502521978645952e-10,6.080320454338053e-10,3.9022290926184357e-10,7.245442583373445e-09,1.2038909985767086e+19,7.017566985951632e-10,6.3910709200216e-10,6.87647759368681e-10,3.865666825003128e-10,7.162813811020219e-09,4.516480093307858e+18,2.0793709910924e-06
0,-15.597920601830062,0.8862222072410761,2.4331289221268783e-08,2.248548435795458e-07,6.789370937297535e-10,6.490813793343705e-10,6.350087763535929e-10,3.850112950606784e-10,7.210804536689151e-09,1.2104566957451538e+19,6.924182963535901e-10,6.441484106343375e-10,6.781767338005594e-10,3.7028677475344566e-10,7.231850210036499e-09,3.9939034328639263e+18,1.17829125996e-06
